id,path,mtime,bass_ratio,bass_rms_h,bass_rms_p,centroid,bandwidth,rolloff,zcr,tempo,bass_beat_mean,bass_beat_var
52020d92199ee18e,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Billie_Jean\Miss - Hip Hop [Audio] [zuijRF0bdiY].wav,1754896113.8429444,0.4253026000646469,26.84735246672672,13.402124014520494,2391.948046818956,2372.0425318502816,4857.4129974431635,0.10778528924148854,117.45383522727273,-19.29290008544922,579.5924682617188
574de401ec225028,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Billie_Jean\TELEFILME - Hi-Fi Ghost [Audio] [-jid6dr145s].wav,1754896172.4154816,0.6267439721756368,29.85348949387556,8.92124089594806,2328.0668091173557,2643.4308570691046,5253.216581686717,0.07796098498184109,117.45383522727273,-19.874174118041992,711.6007080078125
0eb09d3e1cfcdac2,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\audio_raw\Brick_House.wav,1754445448.4727745,0.14842533298837352,4.174725533789221,6.255077283398668,2734.845390331498,2467.304787185713,5451.951683080517,0.15694307887660053,107.666015625,-31.100540161132812,505.0177917480469
6777ed8eafd86259,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Brick_House\(FREE) Michael Jackson 80s type beat - Starlight Lover [8MZR9cvKURg].wav,1754896655.7577286,0.7213536449251287,26.656536212560766,23.367805230467486,1996.1577418239142,2308.255213093756,4349.971901102269,0.07971678388879654,112.34714673913044,-22.688695907592773,439.69580078125
d01755ffcd70d17e,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Brick_House\Got 2 Grind [s4SgL1W6syU].wav,1754896623.6621428,0.9534331025317022,81.83794485903223,23.415908022862517,2173.762859123988,2279.7383573484017,4692.79621656853,0.07719823949550024,143.5546875,-16.546165466308594,521.9382934570312
f259836649ee9389,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Brick_House\His Wishlist： 43. In the Disco was One (Instrumental) [qKej0y7RDy0].wav,1754896555.8531423,0.9532694044577685,57.40773210185302,17.214036687599812,1559.2378306018331,2031.146970516143,3423.815448184594,0.051004896685320704,107.666015625,-16.52804946899414,594.1679077148438
db78f800cde150b2,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Brick_House\Miss - Hip Hop [Audio] [zuijRF0bdiY].wav,1754896539.0267127,0.42836090787675857,26.83694730632859,13.405441864482954,2375.622976942161,2363.0308490165257,4826.973089916736,0.10657766208887894,117.45383522727273,-19.472702026367188,576.6121215820312
0b60b994756f83cd,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Brick_House\TELEFILME - Hi-Fi Ghost [Audio] [-jid6dr145s].wav,1754896605.2686777,0.6267439721756368,29.85348949387556,8.92124089594806,2328.0668091173557,2643.4308570691046,5253.216581686717,0.07796098498184109,117.45383522727273,-19.874174118041992,711.6007080078125
0bc5016a9a41e808,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\audio_raw\Come_Together.wav,1754445436.0344386,0.6541993155924761,32.01804034019826,8.807830222590662,1995.6579472288183,2281.711646276872,4261.127218690164,0.06422288441796623,172.265625,-19.337162017822266,639.9331665039062
1b78b3b1000b3951,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Come_Together\311 - Starshines (1997 CD Audio) [LbhmimByFOc].wav,1754897054.5350785,0.486238796001753,22.449945680004603,17.800001611602397,2528.457615405719,2633.252510680774,5541.86923162876,0.10930660318674432,83.35433467741936,-16.00848960876465,593.9628295898438
5f5c3a1fa4e213b4,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Come_Together\Dudja - Sweet (Instrumental) {Album Version} [Official Audio] [260mcrN_gRk].wav,1754897153.8827252,0.4945841257362377,18.25432462272,15.697594544620705,2874.968365909798,2447.4133975286777,5581.329520026039,0.13686507056680117,161.4990234375,-26.91877555847168,401.24420166015625
1f61802d9ba86bfd,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Come_Together\Red Hot Lover Tone - 98 (Instrumental) [NPiJV_UfIMc].wav,1754897127.2641234,0.5569744229902824,24.99630587941323,17.596757486066533,2071.5845348870007,2357.75931049344,4358.407587991617,0.09383313991825969,184.5703125,-19.729650497436523,514.5513305664062
65b31dda76727afa,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Come_Together\Takanashi Sachiko - Around (Official Audio) [wTaOrxDyFBQ].wav,1754897204.3301435,0.455230579383156,35.76593900036914,19.3937889302804,2789.0941386306067,2610.2968504157952,5956.672495955846,0.11924650642932699,117.45383522727273,-17.228591918945312,589.5859375
35430e916e311038,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Come_Together\Takanashi Sachiko - Can't Keep It In! (Official Audio) [n2P2fp9XjOk].wav,1754897233.2075481,0.5556550337914962,31.0093950370917,31.80699988523312,3241.571277037548,2782.6062456935542,6487.009634285276,0.1631644738589677,123.046875,-19.233095169067383,493.6278991699219
356ac50614897f9a,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\audio_raw\Feel_Good_Inc.wav,1754445388.3799994,0.3560015766227755,7.754235863586173,7.918536985884904,2534.907913276519,2364.272901115947,5043.428874368591,0.13349526150437815,92.28515625,-27.77347755432129,413.7432556152344
